HYBRIDIZATION R	TCGA-AA-3841-01	TCGA-AA-3866-01	TCGA-AA-3870-01	TCGA-AA-3939-01	TCGA-AA-3941-01	TCGA-AA-3968-01	TCGA-AA-3970-01	TCGA-AA-3977-01	TCGA-AA-3979-01	TCGA-AA-3980-01
ADCYAP1R1|117	0	0	2	2	0	0	0	1	0	0
ADCYAP1|116	14	26	17	17	26	25	9	10	1	14
ADC|113451	25	132	105	43	35	48	130	137	21	117
ADD1|118	1428	3705	3018	1798	3091	3137	2737	1379	2692	3323
ADD2|119	4	7	7	8	3	3	13	20	0	3
ADD3|120	489	4707	1948	4300	5961	6006	4116	2225	9617	2593
ADH1A|124	7	7	5	2	5	5	7	0	1	2
ADH1B|125	38	135	168	52	160	287	239	2	32	132
ADH1C|126	161	652	669	538	354	1879	1429	48	126	614
ADH4|127	9	21	1	39	55	19	17	12	0	8
ADH5|128	1002	3818	2806	4984	2353	3064	2240	3276	3222	4546
ADH6|130	28	473	28	186	440	345	117	61	28	62
ADH7|131	0	0	29	2	1	2	3	3	1	0
ADHFE1|137872	7	5	2	5	7	14	15	2	5	6
ADI1|55256	1006	2067	2334	3238	2508	2126	1875	1322	2846	1602
ADIG|149685	0	0	0	0	0	0	0	0	0	0
ADIPOQ|9370	5	2	29	0	4	9	6	1	5	7
ADIPOR1|51094	1134	3214	3547	2540	3185	2595	2204	1175	3830	3084
ADIPOR2|79602	1154	2797	2173	2790	2475	2297	1053	1085	3057	2134
ADK|132	147	884	648	1396	994	692	908	652	1296	542
ADM2|79924	232	197	88	83	445	184	79	79	204	53
ADM|133	241	329	620	378	213	402	477	339	745	370
ADNP2|22850	290	597	345	414	404	794	480	472	593	1264
ADNP|23394	914	3405	1449	1355	2154	4335	2092	892	2731	2927
ADORA1|134	25	54	155	40	16	34	34	13	10	21
ADORA2A|135	101	133	107	45	35	93	66	38	29	71
ADORA2B|136	330	878	360	299	577	439	244	404	228	389
ADORA3|140	13	53	141	31	60	49	32	44	26	86
ADO|84890	273	714	618	613	664	675	665	338	806	613
ADPGK|83440	274	1567	687	994	1376	1028	1204	669	1020	955
ADPRHL1|113622	232	37	86	76	112	76	100	27	27	70
ADPRHL2|54936	350	535	809	477	590	421	680	523	965	556
ADPRH|141	89	393	205	69	31	131	222	36	99	141
ADRA1A|148	8	16	50	18	13	16	10	10	11	22
ADRA1B|147	1	1	4	14	3	7	16	2	3	4
ADRA1D|146	3	2	4	4	4	6	0	9	0	1
ADRA2A|150	123	875	127	230	66	171	272	485	29	65
ADRA2B|151	11	9	6	2	18	23	21	5	14	28
ADRA2C|152	25	16	58	72	345	20	141	48	78	66
ADRB1|153	18	3	21	4	47	4	14	3	6	21
ADRB2|154	7	19	21	23	4	16	9	11	1	16
ADRB3|155	0	1	2	0	2	3	4	0	1	1
ADRBK1|156	6024	5617	4973	2648	2490	3497	3341	1899	2931	3610
ADRBK2|157	126	501	430	125	539	316	370	185	514	271
ADRM1|11047	5324	4548	2916	2370	4411	3656	3877	1265	6436	2666
ADSL|158	1014	1691	715	1319	1798	1105	1836	788	2526	1304
ADSSL1|122622	14	22	40	17	58	27	31	147	7	18
ADSS|159	299	2678	1514	2244	2002	790	1655	1062	2044	2560
AEBP1|165	2152	5342	10535	1583	765	3641	765	1741	566	1223
AEBP2|121536	205	642	354	875	555	923	402	417	671	801
AEN|64782	577	711	1177	1213	1002	668	723	448	605	478
AES|166	4127	7139	9511	6475	3275	5648	6316	3515	5217	9271
AFAP1L1|134265	44	103	186	49	37	121	101	57	33	113
AFAP1L2|84632	124	254	1027	279	300	333	212	523	94	312
AFAP1|60312	631	1583	854	558	1102	937	975	635	951	1169
AFARP1|246182	3	3	1	3	7	4	0	0	4	2
AFF1|4299	204	1398	1083	833	1305	1316	768	642	745	1637
AFF2|2334	11	6	85	6	8	8	8	21	5	4
AFF3|3899	17	31	73	21	56	51	44	54	26	51
AFF4|27125	200	1981	1033	1394	1372	1473	1677	731	1408	1354
AFG3L1|172	406	222	275	132	339	397	205	87	263	222
AFG3L2|10939	492	1297	689	781	1051	920	1034	1146	1135	2693
AFMID|125061	209	497	394	741	644	573	997	292	642	610
AFM|173	0	0	0	0	0	0	0	0	0	0
AFP|174	43	0	12	100	28	24	93	278	46	69
AFTPH|54812	170	1881	761	982	1376	1663	1143	626	1869	1593
AG2|387763	417	436	599	790	81	567	365	105	129	269
AGAP11|119385	22	12	86	25	78	39	35	11	28	21
AGAP1|116987	430	789	650	267	396	714	519	393	605	601
AGAP2|116986	231	127	344	228	73	99	156	35	51	143
AGAP3|116988	1533	1230	2413	635	1476	1888	680	501	1478	1414
AGAP4|119016	74	71	69	66	127	164	125	43	129	94
AGAP5|729092	40	44	61	66	98	101	133	46	88	60
AGAP6|414189	57	61	51	102	119	170	104	63	136	100
AGAP7|653268	19	11	17	58	46	36	45	29	49	30
AGAP8|728404	87	64	101	88	146	149	170	53	154	114
AGA|175	128	475	273	781	466	306	410	131	369	578
AGBL1|123624	0	1	0	0	0	2	0	0	0	0
AGBL2|79841	7	10	6	3	6	43	31	4	8	9
AGBL3|340351	1	6	0	4	9	3	8	0	8	7
AGBL4|84871	0	17	6	8	13	10	5	4	3	4
AGBL5|60509	483	864	521	747	817	1203	861	369	1122	1204
AGER|177	17	29	18	35	32	82	30	28	21	51
AGFG1|3267	606	2825	1302	1565	2332	2850	1843	1373	2340	2196
AGFG2|3268	680	809	1395	730	1518	753	604	230	484	415
AGGF1|55109	139	1361	423	604	606	736	1074	619	791	935
AGK|55750	192	582	449	699	632	1139	304	320	587	796
AGL|178	74	430	238	509	574	517	969	476	906	746
AGMAT|79814	299	551	168	928	1148	874	1032	563	1069	915
AGPAT1|10554	928	1750	1409	953	450	1902	1232	643	785	1529
